Running total of all data acquisitions 
-DATA: mean of events per minute, standard deviation, variance, range -CONDITIONS: Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm) 
--- 0316_Hour7 --- DATA: 87.0, 8.570742506845255, 73.45762711864407, 39 --- CONDITIONS: 16, 07:53, Calm, 16, Fair, CLR, 4.4, 0, , , 73%, NA, NA, 76.25, 1016.5, , ,
--- 0316_Hour8 --- DATA: 85.70491803278688, 15.21659649012122, 231.54480874316943, 124 --- CONDITIONS: 16, 08:53, Calm, 16, Fair, CLR, 8.9, 0.6, , , 56%, NA, NA, 76.28, 1016.8, , ,
--- 0316_Hour9 --- DATA: 82.73770491803279, 13.718481013270944, 188.1967213114754, 100 --- CONDITIONS: 16, 07:53, Calm, 16, Fair, CLR, 4.4, 0, , , 73%, NA, NA, 76.25, 1016.5, , ,
--- 0316_Hour10 --- DATA: 84.31666666666666, 10.734850052502713, 115.23700564971752, 45 --- CONDITIONS: 16, 10:53, S8, 16, Fair, CLR, 12.8, -0.6, 13.3, 1.7, 40%, NA, NA, 76.33, 1017.6, , ,
--- 0316_Hour11 --- DATA: 85.45, 9.14557408934665, 83.64152542372884, 47 --- CONDITIONS: 16, 10:53, S8, 16, Fair, CLR, 12.8, -0.6, 13.3, 1.7, 40%, NA, NA, 76.33, 1017.6, , ,
--- 0316_Hour12 --- DATA: 84.3, 8.667687901587254, 75.12881355932204, 40 --- CONDITIONS: 16, 11:53, E19, 16, Fair, CLR, 12.8, 0.6, , , 44%, NA, NA, 76.35, 1018.0, , ,
--- 0316_Hour13 --- DATA: 84.56666666666666, 9.417557829937971, 88.69039548022597, 38 --- CONDITIONS: 16, 12:53, SE14, 16, Fair, CLR, 13.9, 2.2, , , 45%, NA, NA, 76.33, 1017.7, , ,
--- 0316_Hour14 --- DATA: 84.76666666666667, 9.376072443367578, 87.91073446327685, 48 --- CONDITIONS: 16, 13:53, SE13, 16, Fair, CLR, 13.9, 1.7, , , 44%, NA, NA, 76.3, 1017.2, , ,
--- 0316_Hour15 --- DATA: 83.7, 10.65689877616484, 113.5694915254237, 67 --- CONDITIONS: 16, 14:53, SE16, 16, Fair, CLR, 13.9, 3.3, , , 49%, NA, NA, 76.3, 1017.3, , ,
--- 0316_Hour16 --- DATA: 82.98333333333333, 8.652405694012812, 74.86412429378531, 40 --- CONDITIONS: 16, 15:53, SE13, 16, Fair, CLR, 13.9, 4.4, , , 53%, NA, NA, 76.3, 1017.2, , ,
--- 0316_Hour17 --- DATA: 84.48333333333333, 8.947098131335736, 80.0505649717514, 43 --- CONDITIONS: 16, 16:53, SE11, 16, Fair, CLR, 13.9, 7.2, 15, 12.8, 64%, NA, NA, 76.3, 1017.1, , ,
--- 0316_Hour18 --- DATA: 82.49180327868852, 13.911174106714444, 193.5207650273224, 100 --- CONDITIONS: 16, 18:53, SE14, 16, Fair, CLR, 12.2, 7.2, , , 72%, NA, NA, 76.3, 1017.3, , ,
--- 0316_Hour19 --- DATA: 83.96666666666667, 7.961702114810107, 63.388700564971735, 33 --- CONDITIONS: 16, 19:53, E14, 16, Fair, CLR, 11.7, 5, , , 64%, NA, NA, 76.35, 1017.7, , ,
--- 0316_Hour20 --- DATA: 84.53333333333333, 9.94641007833116, 98.93107344632769, 53 --- CONDITIONS: 16, 20:53, E13, 16, Fair, CLR, 11.1, 5, , , 66%, NA, NA, 76.4, 1018.5, , ,
--- 0316_Hour21 --- DATA: 84.91666666666667, 9.460518613129967, 89.50141242937855, 44 --- CONDITIONS: 16, 20:53, E13, 16, Fair, CLR, 11.1, 5, , , 66%, NA, NA, 76.4, 1018.5, , ,
--- 0316_Hour22 --- DATA: 84.78333333333333, 8.62808120677677, 74.44378531073448, 37 --- CONDITIONS: 16, 22:53, Calm, 16, Fair, CLR, 7.8, 4.4, 15, 7.8, 79%, NA, NA, 76.48, 1019.6, , ,
--- 0316_Hour23 --- DATA: 84.66666666666667, 8.546317804914516, 73.03954802259886, 37 --- CONDITIONS: 16, 22:53, Calm, 16, Fair, CLR, 7.8, 4.4, 15, 7.8, 79%, NA, NA, 76.48, 1019.6, , ,
--- 0316_Hour24 --- DATA: 83.51666666666667, 8.712919817800026, 75.91497175141244, 41 --- CONDITIONS: 17, 00:53, N5, 16, Fair, CLR, 6.1, 3.3, , , 82%, NA, NA, 76.48, 1019.6, , ,
--- 0317_Hour1 --- DATA: 84.26666666666667, 9.536489541144665, 90.94463276836159, 51 --- CONDITIONS: 17, 01:53, NE8, 16, Fair, CLR, 5.6, 2.8, , , 82%, 3.9, NA, 76.48, 1019.5, , ,
--- 0317_Hour2 --- DATA: 84.66666666666667, 8.699633085320842, 75.68361581920904, 42 --- CONDITIONS: 17, 01:53, NE8, 16, Fair, CLR, 5.6, 2.8, , , 82%, 3.9, NA, 76.48, 1019.5, , ,
--- 0317_Hour3 --- DATA: 85.06666666666666, 11.403042512026053, 130.02937853107343, 63 --- CONDITIONS: 17, 03:53, Calm, 16, Fair, CLR, 6.1, 3.3, , , 82%, NA, NA, 76.45, 1019.1, , ,
--- 0317_Hour4 --- DATA: 84.98333333333333, 8.518159399073404, 72.55903954802258, 37 --- CONDITIONS: 17, 04:53, N5, 16, Fair, CLR, 4.4, 2.8, 7.8, 3.9, 89%, NA, NA, 76.45, 1019.4, , ,
--- 0317_Hour5 --- DATA: 84.63333333333334, 11.147648025353828, 124.2700564971751, 59 --- CONDITIONS: 17, 04:53, N5, 16, Fair, CLR, 4.4, 2.8, 7.8, 3.9, 89%, NA, NA, 76.45, 1019.4, , ,
--- 0317_Hour6 --- DATA: 84.33333333333333, 9.80948462971246, 96.22598870056498, 42 --- CONDITIONS: 17, 06:53, Calm, 16, Partly Cloudy, SCT016, 5.6, 3.3, , , 85%, NA, NA, 76.53, 1020.1, , ,
--- 0317_Hour7 --- DATA: 86.13333333333334, 10.319418369279637, 106.490395480226, 52 --- CONDITIONS: 17, 06:53, Calm, 16, Partly Cloudy, SCT016, 5.6, 3.3, , , 85%, NA, NA, 76.53, 1020.1, , ,
--- 0317_Hour8 --- DATA: 87.0, 9.681364240607934, 93.72881355932203, 47 --- CONDITIONS: 17, 08:53, Calm, 16, Fair, CLR, 10.6, 6.7, , , 77%, NA, NA, 76.56, 1020.4, , ,
--- 0317_Hour9 --- DATA: 83.53333333333333, 8.790338815834982, 77.27005649717516, 51 --- CONDITIONS: 17, 09:53, SE8, 16, Partly Cloudy, FEW014SCT200, 12.2, 7.2, , , 72%, NA, NA, 76.58, 1020.9, , ,
--- 0317_Hour10 --- DATA: 83.28333333333333, 9.454783860729306, 89.39293785310734, 46 --- CONDITIONS: 17, 10:53, Vrbl10, 16, A Few Clouds, FEW027, 12.8, 6.7, 13.3, 3.3, 67%, NA, NA, 76.58, 1020.9, , ,
--- 0317_Hour11 --- DATA: 86.5, 8.960364702020803, 80.28813559322033, 40 --- CONDITIONS: 17, 11:53, S13, 16, Fair, CLR, 12.8, 5.6, , , 62%, NA, NA, 76.56, 1020.5, , ,
--- 0317_Hour12 --- DATA: 85.18333333333334, 7.827573312004319, 61.270903954802264, 32 --- CONDITIONS: 17, 12:53, SE13, 16, Fair, CLR, 13.9, 5, , , 55%, NA, NA, 76.53, 1020.2, , ,
--- 0317_Hour13 --- DATA: 82.81967213114754, 13.311033264077475, 177.18360655737703, 100 --- CONDITIONS: 17, 08:53, Calm, 16, Fair, CLR, 10.6, 6.7, , , 77%, NA, NA, 76.56, 1020.4, , ,
--- 0317_Hour14 --- DATA: 83.85, 9.423779874267229, 88.80762711864406, 45 --- CONDITIONS: 16, 21:53, E10, 16, Fair, CLR, 10.6, 5.6, , , 71%, NA, NA, 76.43, 1019.0, , ,
--- 0317_Hour15 --- DATA: 84.33333333333333, 9.760985409178321, 95.27683615819208, 46 --- CONDITIONS: 17, 08:53, Calm, 16, Fair, CLR, 10.6, 6.7, , , 77%, NA, NA, 76.56, 1020.4, , ,
--- 0317_Hour16 --- DATA: 86.38333333333334, 7.515163578779853, 56.47768361581921, 40 --- CONDITIONS: 17, 15:53, SW10, 16, Fair, CLR, 15, 5, , , 51%, NA, NA, 76.43, 1019.0, , ,
--- 0317_Hour17 --- DATA: 85.15, 10.025095629114036, 100.50254237288134, 47 --- CONDITIONS: 17, 17:53, W16, 16, Fair, CLR, 12.8, 7.2, , , 69%, NA, NA, 76.4, 1018.6, , ,
--- 0317_Hour18 --- DATA: 85.13333333333334, 9.713640010824315, 94.35480225988701, 53 --- CONDITIONS: 17, 18:53, W11, 16, Fair, CLR, 11.7, 7.2, , , 74%, NA, NA, 76.4, 1018.7, , ,
--- 0317_Hour19 --- DATA: 85.03333333333333, 6.754701229555972, 45.62598870056497, 23 --- CONDITIONS: 17, 18:53, W11, 16, Fair, CLR, 11.7, 7.2, , , 74%, NA, NA, 76.4, 1018.7, , ,
--- 0317_Hour20 --- DATA: 83.95, 9.491164490716116, 90.0822033898305, 45 --- CONDITIONS: 17, 20:53, N5, 16, Fair, CLR, 10, 6.1, , , 77%, NA, NA, 76.43, 1018.8, , ,
--- 0317_Hour21 --- DATA: 81.8688524590164, 13.809990839770153, 190.71584699453553, 106 --- CONDITIONS: 17, 21:53, N5, 16, Fair, CLR, 9.4, 6.1, , , 80%, NA, NA, 76.45, 1019.4, , ,
--- 0317_Hour22 --- DATA: 84.83333333333333, 9.279404325320044, 86.10734463276836, 40 --- CONDITIONS: 17, 21:53, N5, 16, Fair, CLR, 9.4, 6.1, , , 80%, NA, NA, 76.45, 1019.4, , ,
--- 0317_Hour23 --- DATA: 83.31666666666666, 8.589492332558045, 73.77937853107343, 38 --- CONDITIONS: 17, 23:53, N5, 16, Fair, CLR, 9.4, 6.1, , , 80%, NA, NA, 76.5, 1019.7, , ,
--- 0317_Hour24 --- DATA: 85.23333333333333, 8.803633045638596, 77.5039548022599, 37 --- CONDITIONS: 18, 00:53, NW5, 16, Fair, CLR, 8.9, 5.6, , , 80%, NA, NA, 76.5, 1019.8, , ,
--- 0318_Hour1 --- DATA: 83.1, 9.79224875057922, 95.88813559322031, 47 --- CONDITIONS: 18, 01:53, Calm, 16, A Few Clouds, FEW110, 8.9, 5.6, , , 80%, NA, NA, 76.48, 1019.6, , ,
--- 0318_Hour2 --- DATA: 84.1639344262295, 14.527193268566885, 211.03934426229503, 107 --- CONDITIONS: 18, 02:53, Calm, 16, A Few Clouds, FEW110, 8.9, 5.6, , , 80%, NA, NA, 76.45, 1019.2, , ,
--- 0318_Hour3 --- DATA: 83.21311475409836, 14.641396511374134, 214.37049180327867, 110 --- CONDITIONS: 18, 01:53, Calm, 16, A Few Clouds, FEW110, 8.9, 5.6, , , 80%, NA, NA, 76.48, 1019.6, , ,
--- 0318_Hour4 --- DATA: 82.71666666666667, 8.910271480325802, 79.39293785310736, 48 --- CONDITIONS: 18, 03:53, Calm, 16, A Few Clouds, FEW120, 8.3, 5.6, , , 83%, NA, NA, 76.45, 1019.1, , ,
--- 0318_Hour5 --- DATA: 84.66666666666667, 8.934159671706569, 79.81920903954801, 39 --- CONDITIONS: 18, 04:53, W5, 16, Overcast, OVC110, 8.9, 6.1, 9.4, 8.3, 83%, NA, NA, 76.45, 1019.3, , ,
--- 0318_Hour6 --- DATA: 83.9, 9.589365578774741, 91.95593220338982, 41 --- CONDITIONS: 18, 06:53, NE5, 16, Mostly Cloudy, BKN100, 9.4, 6.7, , , 83%, NA, NA, 76.5, 1019.8, , ,
--- 0318_Hour7 --- DATA: 84.43333333333334, 8.034600317370305, 64.55480225988701, 37 --- CONDITIONS: 18, 06:53, NE5, 16, Mostly Cloudy, BKN100, 9.4, 6.7, , , 83%, NA, NA, 76.5, 1019.8, , ,
--- 0318_Hour8 --- DATA: 82.49180327868852, 13.5899754118243, 184.68743169398905, 101 --- CONDITIONS: 18, 07:53, Calm, 16, Fair, CLR, 10.6, 7.2, , , 80%, NA, NA, 76.53, 1020.3, , ,
--- 0318_Hour9 --- DATA: 81.98360655737704, 12.85235620846581, 165.18306010928964, 97 --- CONDITIONS: 18, 08:53, S5, 16, Fair, CLR, 12.2, 8.3, , , 77%, NA, NA, 76.56, 1020.6, , ,
--- 0318_Hour10 --- DATA: 82.9672131147541, 14.159763666948159, 200.49890710382516, 100 --- CONDITIONS: 18, 08:53, S5, 16, Fair, CLR, 12.2, 8.3, , , 77%, NA, NA, 76.56, 1020.6, , ,
--- 0318_Hour11 --- DATA: 86.55, 9.212049956810898, 84.86186440677967, 38 --- CONDITIONS: 18, 10:53, S10, 16, Partly Cloudy, SCT110, 14.4, 8.9, 14.4, 8.9, 70%, NA, NA, 76.61, 1021.1, , ,
--- 0318_Hour12 --- DATA: 82.54098360655738, 14.037537498307653, 197.05245901639347, 103 --- CONDITIONS: 18, 06:53, NE5, 16, Mostly Cloudy, BKN100, 9.4, 6.7, , , 83%, NA, NA, 76.5, 1019.8, , ,
--- 0318_Hour13 --- DATA: 85.05, 10.193758475871732, 103.91271186440677, 42 --- CONDITIONS: 18, 12:53, S13, 16, Partly Cloudy, SCT095, 15.6, 7.8, , , 60%, NA, NA, 76.58, 1020.9, , ,
--- 0318_Hour14 --- DATA: 83.95, 8.618909050473789, 74.285593220339, 39 --- CONDITIONS: 18, 13:53, SW14, 16, Fair, CLR, 16.7, 7.2, , , 54%, NA, NA, 76.56, 1020.6, , ,
--- 0318_Hour15 --- DATA: 86.33333333333333, 9.362142784326903, 87.64971751412429, 51 --- CONDITIONS: 18, 12:53, S13, 16, Partly Cloudy, SCT095, 15.6, 7.8, , , 60%, NA, NA, 76.58, 1020.9, , ,
--- 0318_Hour16 --- DATA: 83.78333333333333, 10.173231186224049, 103.49463276836158, 47 --- CONDITIONS: 18, 16:53, W29, 16, Fair, CLR, 15, 8.9, 17.2, 13.9, 67%, NA, NA, 76.53, 1020.2, , ,
--- 0318_Hour17 --- DATA: 82.91666666666667, 8.669626830408047, 75.16242937853109, 43 --- CONDITIONS: 18, 16:53, W29, 16, Fair, CLR, 15, 8.9, 17.2, 13.9, 67%, NA, NA, 76.53, 1020.2, , ,
--- 0318_Hour18 --- DATA: 85.2, 9.847653080122221, 96.97627118644068, 42 --- CONDITIONS: 18, 16:53, W29, 16, Fair, CLR, 15, 8.9, 17.2, 13.9, 67%, NA, NA, 76.53, 1020.2, , ,
--- 0318_Hour19 --- DATA: 84.45, 7.511403759662901, 56.42118644067797, 45 --- CONDITIONS: 18, 18:53, W19, 16, Fair, CLR, 12.8, 8.9, , , 77%, NA, NA, 76.48, 1019.5, , ,
--- 0318_Hour20 --- DATA: 83.1, 7.51202425945073, 56.43050847457628, 35 --- CONDITIONS: 18, 18:53, W19, 16, Fair, CLR, 12.8, 8.9, , , 77%, NA, NA, 76.48, 1019.5, , ,
--- 0318_Hour21 --- DATA: 82.76666666666667, 9.246834853194898, 85.5039548022599, 43 --- CONDITIONS: 18, 21:53, S10, 16, Fair, CLR, 11.1, 8.9, , , 86%, NA, NA, 76.53, 1020.3, , ,
--- 0318_Hour22 --- DATA: 85.9, 10.224099148082951, 104.53220338983051, 44 --- CONDITIONS: 18, 22:53, Calm, 16, Fair, CLR, 11.1, 9.4, 15, 10, 89%, NA, NA, 76.56, 1020.5, , ,
--- 0318_Hour23 --- DATA: 83.81666666666666, 9.082468989093941, 82.49124293785312, 52 --- CONDITIONS: 18, 23:53, Calm, 16, Fair, CLR, 10, 7.8, , , 86%, NA, NA, 76.56, 1020.6, , ,
--- 0318_Hour24 --- DATA: 84.51666666666667, 9.597831087382238, 92.1183615819209, 49 --- CONDITIONS: 18, 23:53, Calm, 16, Fair, CLR, 10, 7.8, , , 86%, NA, NA, 76.56, 1020.6, , ,
--- 0319_Hour1 --- DATA: 86.23333333333333, 9.8020521315029, 96.08022598870055, 39 --- CONDITIONS: 19, 00:53, SW5, 16, Fair, CLR, 9.4, 7.8, , , 90%, NA, NA, 76.53, 1020.3, , ,
--- 0319_Hour2 --- DATA: 82.38333333333334, 9.813673730586089, 96.30819209039548, 44 --- CONDITIONS: 19, 01:53, NE8, 16, Fair, CLR, 10, 7.8, , , 86%, 8.9, NA, 76.56, 1020.4, , ,
--- 0319_Hour3 --- DATA: 83.6, 9.779258576450708, 95.63389830508474, 39 --- CONDITIONS: 19, 02:53, Calm, 16, Fair, CLR, 9.4, 7.2, , , 86%, NA, NA, 76.53, 1020.3, , ,
--- 0319_Hour4 --- DATA: 82.55, 9.149279864224194, 83.70932203389829, 45 --- CONDITIONS: 19, 02:53, Calm, 16, Fair, CLR, 9.4, 7.2, , , 86%, NA, NA, 76.53, 1020.3, , ,
--- 0319_Hour5 --- DATA: 83.16666666666667, 9.490703152437316, 90.0734463276836, 39 --- CONDITIONS: 19, 04:53, Calm, 16, Fair, CLR, 10, 7.8, 11.7, 8.3, 86%, NA, NA, 76.5, 1020.0, , ,
--- 0319_Hour6 --- DATA: 84.75, 9.080851524321917, 82.46186440677967, 44 --- CONDITIONS: 19, 05:53, W8, 16, Fair, CLR, 7.8, 6.7, , , 93%, 6.7, NA, 76.53, 1020.1, , ,
--- 0319_Hour7 --- DATA: 83.75, 8.83104116939748, 77.98728813559322, 39 --- CONDITIONS: 19, 06:53, Calm, 16, Fair, CLR, 7.2, 6.1, , , 93%, NA, NA, 76.53, 1020.3, , ,
--- 0319_Hour8 --- DATA: 84.38333333333334, 9.133829216609653, 83.4268361581921, 41 --- CONDITIONS: 19, 05:53, W8, 16, Fair, CLR, 7.8, 6.7, , , 93%, 6.7, NA, 76.53, 1020.1, , ,
--- 0319_Hour9 --- DATA: 86.81666666666666, 10.253551127997717, 105.13531073446326, 50 --- CONDITIONS: 18, 23:53, Calm, 16, Fair, CLR, 10, 7.8, , , 86%, NA, NA, 76.56, 1020.6, , ,
--- 0319_Hour10 --- DATA: 81.56666666666666, 9.048581997097228, 81.87683615819208, 45 --- CONDITIONS: 18, 23:53, Calm, 16, Fair, CLR, 10, 7.8, , , 86%, NA, NA, 76.56, 1020.6, , ,
--- 0319_Hour11 --- DATA: 85.05, 9.956558182798794, 99.13305084745762, 48 --- CONDITIONS: 19, 10:53, SE13, 16, Fair, CLR, 15, 10.6, 15.6, 7.2, 75%, NA, NA, 76.58, 1021.0, , ,
--- 0319_Hour12 --- DATA: 82.2, 8.796763657587809, 77.38305084745764, 39 --- CONDITIONS: 19, 12:53, SW13, 16, Fair, CLR, 16.7, 11.1, , , 70%, NA, NA, 76.58, 1020.9, , ,
--- 0319_Hour13 --- DATA: 83.38333333333334, 7.981104096481266, 63.69802259887005, 33 --- CONDITIONS: 19, 12:53, SW13, 16, Fair, CLR, 16.7, 11.1, , , 70%, NA, NA, 76.58, 1020.9, , ,
--- 0319_Hour14 --- DATA: 83.81666666666666, 8.298441076116966, 68.86412429378531, 42 --- CONDITIONS: 19, 14:53, W23G35, 16, Fair, CLR, 17.8, 12.8, , , 73%, NA, NA, 76.48, 1019.7, , ,
--- 0319_Hour15 --- DATA: 81.91666666666667, 8.878256941972541, 78.82344632768361, 36 --- CONDITIONS: 19, 14:53, W23G35, 16, Fair, CLR, 17.8, 12.8, , , 73%, NA, NA, 76.48, 1019.7, , ,
--- 0319_Hour16 --- DATA: 84.76666666666667, 7.945506494008276, 63.13107344632769, 44 --- CONDITIONS: 19, 16:53, W24, 16, A Few Clouds, FEW040, 16.7, 12.2, 18.3, 15, 75%, NA, NA, 76.43, 1019.0, , ,
--- 0319_Hour17 --- DATA: 84.15, 9.403974997984196, 88.43474576271186, 41 --- CONDITIONS: 19, 17:53, W26, 16, Mostly Cloudy, SCT007SCT035BKN100, 14.4, 11.7, , , 84%, NA, NA, 76.45, 1019.1, , ,
--- 0319_Hour18 --- DATA: 83.8, 9.859693672829492, 97.21355932203392, 42 --- CONDITIONS: 19, 18:53, W13, 16, Mostly Cloudy, FEW005BKN070BKN090, 13.9, 11.7, , , 87%, NA, NA, 76.43, 1018.9, , ,
--- 0319_Hour19 --- DATA: 82.0, 8.71974187147101, 76.03389830508475, 49 --- CONDITIONS: 19, 15:53, W29, 16, Partly Cloudy, SCT040, 16.7, 12.2, , , 75%, NA, NA, 76.45, 1019.4, , ,
--- 0319_Hour20 --- DATA: 83.76666666666667, 8.324696088852217, 69.30056497175141, 49 --- CONDITIONS: 19, 19:53, S5, 16, Mostly Cloudy, BKN090, 13.9, 11.1, , , 83%, NA, NA, 76.43, 1018.8, , ,
--- 0319_Hour21 --- DATA: 83.73333333333333, 9.557793282415066, 91.35141242937854, 45 --- CONDITIONS: 19, 19:53, S5, 16, Mostly Cloudy, BKN090, 13.9, 11.1, , , 83%, NA, NA, 76.43, 1018.8, , ,
--- 0319_Hour22 --- DATA: 81.53333333333333, 9.433921244980647, 88.9988700564972, 42 --- CONDITIONS: 19, 22:53, S8, 16, Overcast, BKN070OVC095, 13.3, 11.7, 17.2, 13.3, 90%, NA, NA, 76.5, 1019.8, , ,
--- 0319_Hour23 --- DATA: 82.41666666666667, 7.634204178978166, 58.281073446327696, 41 --- CONDITIONS: 19, 23:53, Calm, 16, Overcast, FEW060OVC110, 13.3, 11.7, , , 90%, NA, NA, 76.5, 1020.0, , ,
--- 0319_Hour24 --- DATA: 78.61666666666666, 8.760643244448273, 76.74887005649715, 34 --- CONDITIONS: 20, 00:53, NE10, 16, Overcast, BKN070OVC095, 13.9, 11.1, , , 83%, NA, NA, 76.56, 1020.4, , ,
--- 0320_Hour1 --- DATA: 84.21666666666667, 8.643782259602126, 74.71497175141243, 38 --- CONDITIONS: 20, 00:53, NE10, 16, Overcast, BKN070OVC095, 13.9, 11.1, , , 83%, NA, NA, 76.56, 1020.4, , ,
--- 0320_Hour2 --- DATA: 84.13333333333334, 10.058248435086544, 101.1683615819209, 45 --- CONDITIONS: 20, 02:53, Vrbl11, 16, Mostly Cloudy, BKN090, 13.3, 9.4, , , 77%, NA, NA, 76.5, 1019.7, , ,
--- 0320_Hour3 --- DATA: 86.75, 9.067776809736024, 82.22457627118644, 47 --- CONDITIONS: 20, 03:53, SW14, 16, A Few Clouds, FEW090, 13.3, 6.7, , , 65%, NA, NA, 76.48, 1019.5, , ,
--- 0320_Hour4 --- DATA: 83.05, 9.234102233990946, 85.26864406779659, 44 --- CONDITIONS: 20, 04:53, W13, 16, Fair, CLR, 13.9, 3.9, 15, 12.8, 51%, NA, NA, 76.45, 1019.2, , ,
--- 0320_Hour5 --- DATA: 85.03333333333333, 9.31549950745779, 86.77853107344633, 43 --- CONDITIONS: 20, 05:53, Vrbl8, 16, Fair, CLR, 15, 0.6, , , 38%, NA, NA, 76.48, 1019.4, , ,
--- 0320_Hour6 --- DATA: 84.6, 8.475688062664483, 71.83728813559323, 43 --- CONDITIONS: 20, 05:53, Vrbl8, 16, Fair, CLR, 15, 0.6, , , 38%, NA, NA, 76.48, 1019.4, , ,
--- 0320_Hour7 --- DATA: 83.22950819672131, 15.167282158891608, 230.04644808743166, 109 --- CONDITIONS: 20, 06:53, Vrbl10, 16, Fair, CLR, 14.4, -0.6, , , 36%, NA, NA, 76.48, 1019.6, , ,
--- 0320_Hour8 --- DATA: 84.61666666666666, 9.517319923753401, 90.57937853107344, 45 --- CONDITIONS: 20, 06:53, Vrbl10, 16, Fair, CLR, 14.4, -0.6, , , 36%, NA, NA, 76.48, 1019.6, , ,
--- 0320_Hour9 --- DATA: 83.65, 8.31136652779325, 69.07881355932203, 33 --- CONDITIONS: 20, 09:53, N23, 16, Fair, CLR, 17.2, 0, , , 31%, NA, NA, 76.66, 1021.8, , ,
--- 0320_Hour10 --- DATA: 84.39344262295081, 13.186203255075092, 173.87595628415298, 100 --- CONDITIONS: 20, 09:53, N23, 16, Fair, CLR, 17.2, 0, , , 31%, NA, NA, 76.66, 1021.8, , ,
--- 0320_Hour11 --- DATA: 83.85, 8.676531760434608, 75.2822033898305, 37 --- CONDITIONS: 20, 11:53, N27G37, 16, Fair, CLR, 19.4, 0, , , 27%, NA, NA, 76.63, 1021.6, , ,
--- 0320_Hour12 --- DATA: 83.1, 9.68958903118292, 93.88813559322035, 46 --- CONDITIONS: 20, 12:53, NW21, 16, Fair, CLR, 19.4, -0.6, , , 26%, NA, NA, 76.58, 1020.8, , ,
--- 0320_Hour13 --- DATA: 84.06666666666666, 7.940171766631741, 63.04632768361582, 33 --- CONDITIONS: 20, 12:53, NW21, 16, Fair, CLR, 19.4, -0.6, , , 26%, NA, NA, 76.58, 1020.8, , ,
--- 0320_Hour14 --- DATA: 83.58333333333333, 9.905129071390435, 98.11158192090394, 46 --- CONDITIONS: 20, 12:53, NW21, 16, Fair, CLR, 19.4, -0.6, , , 26%, NA, NA, 76.58, 1020.8, , ,
--- 0320_Hour15 --- DATA: 83.65, 7.361892258592125, 54.19745762711865, 36 --- CONDITIONS: 20, 14:53, N21G34, 16, Fair, CLR, 21.7, 0, , , 24%, NA, NA, 76.45, 1019.3, , ,
--- 0320_Hour16 --- DATA: 85.73333333333333, 10.122749453442731, 102.47005649717511, 44 --- CONDITIONS: 20, 16:53, NW24, 16, Fair, CLR, 20.6, 1.1, 22.2, 18.9, 27%, NA, NA, 76.38, 1018.4, , ,
--- 0320_Hour17 --- DATA: 83.66666666666667, 7.361527721572489, 54.19209039548023, 32 --- CONDITIONS: 20, 16:53, NW24, 16, Fair, CLR, 20.6, 1.1, 22.2, 18.9, 27%, NA, NA, 76.38, 1018.4, , ,
--- 0320_Hour18 --- DATA: 83.45, 9.022429677649784, 81.40423728813559, 37 --- CONDITIONS: 20, 17:53, W21G35, 16, Fair, CLR, 18.9, 2.8, , , 34%, NA, NA, 76.38, 1018.3, , ,
--- 0320_Hour19 --- DATA: 83.43333333333334, 8.381510455408637, 70.2497175141243, 37 --- CONDITIONS: 20, 18:53, NW19, 16, Fair, CLR, 17.2, 1.7, , , 35%, NA, NA, 76.4, 1018.7, , ,
--- 0320_Hour20 --- DATA: 85.03333333333333, 8.329988029101347, 69.38870056497176, 37 --- CONDITIONS: 20, 19:53, S5, 16, Fair, CLR, 12.8, 3.9, , , 55%, NA, NA, 76.43, 1019.0, , ,
--- 0320_Hour21 --- DATA: 85.08333333333333, 8.559446494592118, 73.26412429378529, 45 --- CONDITIONS: 20, 19:53, S5, 16, Fair, CLR, 12.8, 3.9, , , 55%, NA, NA, 76.43, 1019.0, , ,
--- 0320_Hour22 --- DATA: 83.25, 8.438461181912498, 71.20762711864407, 40 --- CONDITIONS: 20, 21:53, NW16, 16, Fair, CLR, 13.3, 0.6, , , 42%, NA, NA, 76.5, 1020.0, , ,
--- 0320_Hour23 --- DATA: 84.9, 9.500579821734702, 90.26101694915256, 50 --- CONDITIONS: 20, 22:53, N21, 16, Fair, CLR, 12.8, 0.6, 20.6, 12.2, 44%, NA, NA, 76.53, 1020.1, , ,
--- 0320_Hour24 --- DATA: 84.61666666666666, 8.159618773636023, 66.57937853107344, 36 --- CONDITIONS: 20, 23:53, N19, 16, Fair, CLR, 12.8, 0, , , 42%, NA, NA, 76.5, 1019.9, , ,
--- 0321_Hour1 --- DATA: 84.96666666666667, 8.700217543874087, 75.69378531073447, 42 --- CONDITIONS: 21, 00:53, N14, 16, Fair, CLR, 12.8, -1.1, , , 38%, NA, NA, 76.48, 1019.5, , ,
--- 0321_Hour2 --- DATA: 82.21311475409836, 14.235067912375598, 202.63715846994535, 105 --- CONDITIONS: 21, 02:53, N16, 16, Fair, CLR, 12.8, -1.7, , , 37%, NA, NA, 76.48, 1019.5, , ,
